,last_name,first_name,birthday,gender,type,state,party
1844,Kilgore,Daniel,,M,rep,OH,Democrat
1845,Klingensmith,John,1786-03-26,M,rep,PA,Democrat
1847,Legaré,Hugh,1797-01-02,M,rep,SC,Democrat
1848,Linn,Lewis,1796-11-05,M,sen,MO,Democrat
1849,Logan,Henry,1784-04-14,M,rep,PA,Democrat
1851,Loomis,Arphaxed,1798-04-09,M,rep,NY,Democrat
1852,Lumpkin,Wilson,1783-01-14,M,sen,GA,Democrat
1854,Martin,Joshua,1799-12-05,M,rep,AL,Democrat
1856,May,William,,M,rep,IL,Democrat
1857,McKim,Isaac,1775-07-21,M,rep,MD,Democrat
1858,McKinley,John,1780-05-01,M,sen,AL,Democrat
1861,Moore,Ely,1798-07-04,M,rep,NY,Democrat
1862,Morgan,William,1801-09-07,M,rep,VA,Democrat
1864,Mouton,Alexander,1804-11-19,M,sen,LA,Democrat
1865,Muhlenberg,Henry,1782-05-13,M,rep,PA,Democrat
1866,Murray,John,1806-01-25,M,rep,KY,Democrat
1867,Noble,William,1788-09-22,M,rep,NY,Democrat
1868,Norvell,John,1789-12-21,M,sen,MI,Democrat
1870,Owens,George,1786-08-29,M,rep,GA,Democrat
1871,Palmer,John,1785-01-29,M,rep,NY,Democrat
1872,Parker,Amasa,1807-06-02,M,rep,NY,Democrat
1874,Patton,John,1797-08-10,M,rep,VA,Democrat
1875,Phelps,Lancelot,1784-11-09,M,rep,CT,Democrat
1881,Reily,Luther,1794-10-17,M,rep,PA,Democrat
1882,Richardson,John,1801-04-14,M,rep,SC,Democrat
1883,Roane,William,1787-09-17,M,sen,VA,Democrat
1888,Sheffer,Daniel,1783-05-24,M,rep,PA,Democrat
1889,Shepler,Matthias,1790-11-11,M,rep,OH,Democrat
1892,Smith,Francis,1806-11-23,M,rep,ME,Democrat
1894,Smith,Perry,1783-05-12,M,sen,CT,Democrat
1895,Snyder,Adam,1799-10-06,M,rep,IL,Democrat
1897,Spencer,James,1781-04-26,M,rep,NY,Democrat
1900,Stuart,Archibald,1795-12-02,M,rep,VA,Democrat
1901,Taylor,William,1791-10-12,M,rep,NY,Democrat
1902,Titus,Obadiah,1789-01-20,M,rep,NY,Democrat
1903,Vail,Henry,,M,rep,NY,Democrat
1904,Vanderveer,Abraham,,M,rep,NY,Democrat
1905,Webster,Taylor,1800-10-01,M,rep,OH,Democrat
1906,Weeks,Joseph,1773-02-13,M,rep,NH,Democrat
1908,Whittlesey,Thomas,1798-12-08,M,rep,CT,Democrat
1910,Young,Richard,1798-02-20,M,sen,IL,Democrat
1912,Trotter,James,1802-11-05,M,sen,MS,Democrat
1913,Williams,Thomas,1801-01-20,M,sen,MS,Democrat
1915,Allen,Judson,1797-04-03,M,rep,NY,Democrat
1917,Anderson,Hugh,1801-05-10,M,rep,ME,Democrat
1919,Beatty,William,,M,rep,PA,Democrat
1920,Beirne,Andrew,,M,rep,VA,Democrat
1926,Bynum,Jesse,1797-05-23,M,rep,NC,Democrat
1927,Carr,John,1793-04-09,M,rep,IN,Democrat
1928,Carroll,James,1791-12-02,M,rep,MD,Democrat
1930,Chapman,William,1808-08-11,M,rep,IA,Democrat
1932,Connor,Henry,1793-08-05,M,rep,NC,Democrat
1933,Cooper,William,1793-02-20,M,rep,NJ,Democrat
1935,Craig,Robert,,M,rep,VA,Democrat
1936,Crary,Isaac,1804-10-02,M,rep,MI,Democrat
1939,Davee,Thomas,1797-12-09,M,rep,ME,Democrat
1941,Davis,John,1788-08-07,M,rep,PA,Democrat
1942,De La Montanya,James,1798-03-20,M,rep,NY,Democrat
1944,Dickerson,Philemon,1788-01-11,M,rep,NJ,Democrat
1948,Earll,Nehemiah,1787-10-05,M,rep,NY,Democrat
1949,Ely,John,1774-10-08,M,rep,NY,Democrat
1950,Fine,John,1794-08-26,M,rep,NY,Democrat
1951,Fisher,Charles,1789-10-20,M,rep,NC,Democrat
1952,Fletcher,Isaac,1784-11-22,M,rep,VT,Democrat
1953,Galbraith,John,1794-08-02,M,rep,PA,Democrat
1957,Griffin,John,1789-08-13,M,rep,SC,Democrat
1959,Grundy,Felix,1777-09-11,M,sen,TN,Democrat
1960,Hammond,Robert,1791-04-28,M,rep,PA,Democrat
1961,Hand,Augustus,1803-09-04,M,rep,NY,Democrat
1962,Harrison,Albert,1800-06-26,M,rep,MO,Democrat
1964,Hawkins,Micajah,1790-05-20,M,rep,NC,Democrat
1966,Hill,John,1797-04-09,M,rep,NC,Democrat
1968,Hillen Solomon,Solomon,1810-07-10,M,rep,MD,Democrat
1970,Holleman,Joel,1799-10-01,M,rep,VA,Democrat
1972,Howard,Tilghman,1797-11-14,M,rep,IN,Democrat
1973,Jackson,Thomas,1797-03-24,M,rep,NY,Democrat
1976,Jones,Nathaniel,1788-02-17,M,rep,NY,Democrat
1977,Kemble,Gouverneur,1786-01-25,M,rep,NY,Democrat
1979,Kille,Joseph,1790-04-12,M,rep,NJ,Democrat
1981,Leadbetter,Daniel,1797-09-10,M,rep,OH,Democrat
1982,Leet,Isaac,,M,rep,PA,Democrat
1983,Leonard,Stephen,1793-04-15,M,rep,NY,Democrat
1984,Mallory,Meredith,1781-01-31,M,rep,NY,Democrat
1987,McClure,Charles,,M,rep,PA,Democrat
1988,McCulloch,George,1792-02-22,M,rep,PA,Democrat
1992,Montgomery,William,1789-12-29,M,rep,NC,Democrat
1993,Morris,Samuel,1786-09-01,M,rep,PA,Democrat
1996,Parris,Virgil,1807-02-18,M,rep,ME,Democrat
1997,Paynter,Lemuel,,M,rep,PA,Democrat
1999,Petrikin,David,1788-12-01,M,rep,PA,Democrat
2000,Potter,William,1792-12-18,M,rep,PA,Democrat
2001,Prentiss,John,1784-04-17,M,rep,NY,Democrat
2002,Ramsey,William,1810-06-12,M,rep,PA,Democrat
2005,Ripley,Eleazar,1782-04-15,M,rep,LA,Democrat
2006,Rives,Francis,1792-01-14,M,rep,VA,Democrat
2007,Robinson,Thomas,,M,rep,DE,Democrat
2008,Rogers,Edward,1787-05-30,M,rep,NY,Democrat
2010,Ryall,Daniel,1798-01-30,M,rep,NJ,Democrat
2011,Samuels,Green,1806-02-01,M,rep,VA,Democrat
2012,Shepard,Charles,1808-12-05,M,rep,NC,Democrat
2013,Smith,Albert,1793-01-03,M,rep,ME,Democrat
2014,Smith,John,1789-08-12,M,rep,VT,Democrat
2017,Strong,Theron,1802-11-07,M,rep,NY,Democrat
2018,Swearingen,Henry,,M,rep,OH,Democrat
2020,Tappan,Benjamin,1773-05-25,M,sen,OH,Democrat
2021,Taylor,Jonathan,,M,rep,OH,Democrat
2023,Vanderpoel,Aaron,1799-02-05,M,rep,NY,Democrat
2024,Vroom,Peter,1791-12-12,M,rep,NJ,Democrat
2025,Wagener,David,1792-10-11,M,rep,PA,Democrat
2027,Williams,Reuel,1783-06-02,M,sen,ME,Democrat
2029,Worthington,John,1788-11-01,M,rep,MD,Democrat
2030,Anderson,Alexander,1794-11-10,M,sen,TN,Democrat
2044,Banks,Linn,1784-01-23,M,rep,VA,Democrat
2049,Beeson,Henry,1791-09-14,M,rep,PA,Democrat
2055,Bowne,Samuel,1800-04-11,M,rep,NY,Democrat
2056,Brewster,David,1801-06-15,M,rep,NY,Democrat
2060,Butler,Sampson,1803-01-03,M,rep,SC,Democrat
2062,Butler,William,1791-04-19,M,rep,KY,Democrat
2063,Caldwell,Greene,1806-04-13,M,rep,NC,Democrat
2064,Caldwell,Patrick,1801-03-10,M,rep,SC,Democrat
2068,Cary,George,,M,rep,VA,Democrat
2076,Clifford,Nathan,1803-08-18,M,rep,ME,Democrat
2081,Dimock,Davis,1801-09-17,M,rep,PA,Democrat
2082,Doan,William,1792-04-04,M,rep,OH,Democrat
2083,Doig,Andrew,1799-07-24,M,rep,NY,Democrat
2084,Eastman,Ira,1809-01-01,M,rep,NH,Democrat
2086,Edwards,John,1804-06-24,M,rep,MO,Democrat
2087,Egbert,Joseph,1807-04-10,M,rep,NY,Democrat
2090,Ferris,Charles,,M,rep,NY,Democrat
2091,Floyd,Charles,,M,rep,NY,Democrat
2092,Fornance,Joseph,1804-10-18,M,rep,PA,Democrat
2095,Fulton,William,1795-06-02,M,sen,AR,Democrat
2098,Gerry,James,1796-08-14,M,rep,PA,Democrat
2102,Gustine,Amos,,M,rep,PA,Democrat
2106,Harris,William,1805-08-24,M,rep,VA,Democrat
2107,Hastings,John,,M,rep,OH,Democrat
2109,Hays,Samuel,1794-10-20,M,rep,VA,Democrat
2111,Hook,Enos,1804-12-03,M,rep,PA,Democrat
2112,Houck,Jacob,1801-01-14,M,rep,NY,Democrat
2115,Jack,William,1788-07-29,M,rep,PA,Democrat
2119,Keim,George,1805-03-23,M,rep,PA,Democrat
2124,Lowell,Joshua,1801-03-20,M,rep,ME,Democrat
2126,Marchand,Albert,1811-02-27,M,rep,PA,Democrat
2127,Marshall,Alfred,,M,rep,ME,Democrat
2129,Mason,John,1815-05-09,M,rep,MD,Democrat
2135,McClellan,Abraham,1789-10-04,M,rep,TN,Democrat
2136,McClellan,Robert,1806-10-02,M,rep,NY,Democrat
2138,McKeon,John,1808-03-29,M,rep,NY,Democrat
2139,McRoberts,Samuel,1799-04-12,M,sen,IL,Democrat
2140,Medill,William,,M,rep,OH,Democrat
2142,Miller,John,1781-11-25,M,rep,MO,Democrat
2148,Newhard,Peter,1783-07-26,M,rep,PA,Democrat
2151,Oliver,William,1792-10-15,M,rep,NY,Democrat
2154,Partridge,Samuel,1790-11-29,M,rep,NY,Democrat
2156,Pickens,Francis,1805-04-07,M,rep,SC,Democrat
2157,Plumer,Arnold,1801-06-06,M,rep,PA,Democrat
2166,Reynolds,John,1788-02-26,M,rep,IL,Democrat
2168,Riggs,Lewis,1789-01-16,M,rep,NY,Democrat
2170,Rogers,James,1795-10-24,M,rep,SC,Democrat
2171,Roosevelt,James,1795-12-14,M,rep,NY,Democrat
2175,Sanford,John,1803-06-03,M,rep,NY,Democrat
2177,Sewall,Charles,,M,rep,MD,Democrat
2178,Shaw,Tristram,1786-05-23,M,rep,NH,Democrat
2179,Shields,Benjamin,,M,rep,AL,Democrat
2182,Snyder,John,1793-01-29,M,rep,PA,Democrat
2187,Sumter,Thomas,1809-11-14,M,rep,SC,Democrat
2188,Sweeny,George,1796-02-22,M,rep,OH,Democrat
2194,Trotti,Samuel,1810-07-18,M,rep,SC,Democrat
2196,Van Buren,John,1799-05-13,M,rep,NY,Democrat
2198,Walker,Robert,1801-07-19,M,sen,MS,Democrat
2200,Ward,Aaron,1790-07-05,M,rep,NY,Democrat
2203,Watterson,Harvey,1811-11-23,M,rep,TN,Democrat
2204,Westbrook,John,1789-01-09,M,rep,PA,Democrat
2207,Williams,James,1792-10-08,M,rep,MD,Democrat
2212,Woodbury,Levi,1789-12-22,M,sen,NH,Democrat
2217,McDuffie,George,1790-08-10,M,sen,SC,Democrat
2219,Wilcox,Leonard,1799-01-29,M,sen,NH,Democrat
2220,Allen,William,1803-12-27,M,sen,OH,Democrat
2221,Arrington,Archibald,1809-11-13,M,rep,NC,Democrat
2223,Bagby,Arthur,,M,sen,AL,Democrat
2226,Beardsley,Samuel,1790-02-06,M,rep,NY,Democrat
2227,Belser,James,1805-12-22,M,rep,AL,Democrat
2228,Bidlack,Benjamin,1804-09-08,M,rep,PA,Democrat
2229,Black,Edward,1806-10-30,M,rep,GA,Democrat
2230,Blackwell,Julius,,M,rep,TN,Democrat
2231,Bossier,Pierre,1797-03-22,M,rep,LA,Democrat
2232,Bower,Gustavus,1790-12-12,M,rep,MO,Democrat
2233,Breese,Sidney,1800-07-15,M,sen,IL,Democrat
2235,Brinkerhoff,Henry,1787-09-23,M,rep,OH,Democrat
2236,Brown,Aaron,1795-08-15,M,rep,TN,Democrat
2238,Burke,Edmund,1809-01-23,M,rep,NH,Democrat
2240,Campbell,John,,M,rep,SC,Democrat
2241,Carpenter,Levi,1802-08-21,M,rep,NY,Democrat
2242,Cary,Jeremiah,1803-04-30,M,rep,NY,Democrat
2243,Cary,Shepard,1805-07-03,M,rep,ME,Democrat
2244,Catlin,George,1808-08-24,M,rep,CT,Democrat
2249,Clinton,James,1804-01-02,M,rep,NY,Democrat
2250,Coles,Walter,1790-12-08,M,rep,VA,Democrat
2251,Colquitt,Walter,1799-12-27,M,sen,GA,Democrat
2252,Cooper,Mark,1800-04-20,M,rep,GA,Democrat
2253,Cross,Edward,1798-11-11,M,rep,AR,Democrat
2254,Dana,Amasa,1792-10-19,M,rep,NY,Democrat
2255,Davis,Richard,,M,rep,NY,Democrat
2256,Dean,Ezra,1795-04-09,M,rep,OH,Democrat
2259,Duncan,Alexander,,M,rep,OH,Democrat
2260,Ellis,Chesselden,,M,rep,NY,Democrat
2261,Elmer,Lucius,1793-02-03,M,rep,NJ,Democrat
2262,Farlee,Isaac,1787-05-18,M,rep,NJ,Democrat
2266,Fuller,George,1802-11-07,M,rep,PA,Democrat
2267,Gilmer,Thomas,1802-04-06,M,rep,VA,Democrat
2268,Green,Byram,1786-04-15,M,rep,NY,Democrat
2271,Hammett,William,1799-03-25,M,rep,MS,Democrat
2272,Hannegan,Edward,1807-06-25,M,sen,IN,Democrat
2274,Hays,Samuel,1783-09-10,M,rep,PA,Democrat
2275,Haywood,William,1801-10-23,M,sen,NC,Democrat
2276,Herrick,Joshua,1793-03-18,M,rep,ME,Democrat
2277,Hubbell,William,1801-01-17,M,rep,NY,Democrat
2278,Huger,Daniel,1779-06-28,M,sen,SC,Democrat
2279,Hughes,James,1809-04-07,M,rep,MO,Democrat
2283,Johnson,Cave,1793-01-11,M,rep,TN,Democrat
2285,Jones,John,1791-11-22,M,rep,VA,Democrat
2287,Kirkpatrick,Littleton,1797-10-19,M,rep,NJ,Democrat
2288,La Branche,Alcée,,M,rep,LA,Democrat
2289,Lamar,John,1812-11-05,M,rep,GA,Democrat
2290,Leonard,Moses,1809-07-10,M,rep,NY,Democrat
2291,Lucas,William,1800-11-30,M,rep,VA,Democrat
2292,Lyon,Lucius,1800-02-26,M,rep,MI,Democrat
2293,Mathews,James,1805-06-04,M,rep,OH,Democrat
2294,McCauslen,William,,M,rep,OH,Democrat
2295,Millen,John,,M,rep,GA,Democrat
2296,Moore,Heman,1809-08-27,M,rep,OH,Democrat
2298,Niles,John,1787-08-20,M,sen,CT,Democrat
2299,Parmenter,William,1789-03-30,M,rep,MA,Democrat
2302,Pratt,Zadock,1790-10-30,M,rep,NY,Democrat
2304,Purdy,Smith,1796-07-31,M,rep,NY,Democrat
2306,Read,Almon,1790-06-12,M,rep,PA,Democrat
2307,Reding,John,1805-10-18,M,rep,NH,Democrat
2309,Robinson,Orville,1801-10-28,M,rep,NY,Democrat
2312,Russell,Jeremiah,1786-01-26,M,rep,NY,Democrat
2314,Saunders,Romulus,1791-03-03,M,rep,NC,Democrat
2315,Semple,James,1798-01-05,M,sen,IL,Democrat
2317,Sevier,Ambrose,1801-11-04,M,sen,AR,Democrat
2318,Seymour,Thomas,1807-09-29,M,rep,CT,Democrat
2319,Simons,Samuel,,M,rep,CT,Democrat
2320,Smith,John,,M,rep,PA,Democrat
2322,Steenrod,Lewis,1810-05-27,M,rep,VA,Democrat
2323,Stetson,Lemuel,1804-03-13,M,rep,NY,Democrat
2324,Stewart,John,1795-02-10,M,rep,CT,Democrat
2325,Stiles,William,1808-01-01,M,rep,GA,Democrat
2326,Stone,Alfred,1813-06-28,M,rep,OH,Democrat
2327,Strong,Selah,1792-05-01,M,rep,NY,Democrat
2329,Tucker,Tilghman,1802-02-05,M,rep,MS,Democrat
2333,White,Benjamin,1790-05-13,M,rep,ME,Democrat
2335,Wilkins,William,1779-12-20,M,rep,PA,Democrat
2336,Williams,Henry,1805-11-30,M,rep,MA,Democrat
2337,Wise,Henry,1806-12-03,M,rep,VA,Democrat
2338,Wright,Silas,1795-05-24,M,sen,NY,Democrat
2339,Dickinson,Daniel,1800-09-11,M,sen,NY,Democrat
2340,Foster,Henry,1800-05-07,M,sen,NY,Democrat
2343,Polk,James,1795-11-02,M,rep,TN,Democrat
2344,Anderson,Joseph,1800-08-25,M,rep,NY,Democrat
2347,Benton,Charles,1810-07-12,M,rep,NY,Democrat
2348,Black,James,1793-03-06,M,rep,PA,Democrat
2349,Brinkerhoff,Jacob,1810-08-31,M,rep,OH,Democrat
2350,Brockenbrough,William,1812-02-23,M,rep,FL,Democrat
2356,Chalmers,Joseph,,M,sen,MS,Democrat
2357,Chapman,Augustus,1803-03-09,M,rep,VA,Democrat
2358,Chapman,Reuben,1799-07-15,M,rep,AL,Democrat
2359,Chipman,John,1800-08-10,M,rep,MI,Democrat
2360,Clark,Henry,1809-09-09,M,rep,NC,Democrat
2361,Collin,John,1802-04-30,M,rep,NY,Democrat
2362,Constable,Albert,1805-06-03,M,rep,MD,Democrat
2363,Cottrell,James,1808-08-25,M,rep,AL,Democrat
2365,Cullom,Alvan,1797-09-04,M,rep,TN,Democrat
2367,Cunningham,Francis,1804-11-09,M,rep,OH,Democrat
2368,Dargan,Edmund,1805-04-15,M,rep,AL,Democrat
2370,Davis,John,1799-04-16,M,rep,IN,Democrat
2371,Dawson,John,1798-03-17,M,rep,LA,Democrat
2373,De Mott,John,1790-10-07,M,rep,NY,Democrat
2374,Dillingham,Paul,1799-08-10,M,rep,VT,Democrat
2375,Dix,John,1798-07-24,M,sen,NY,Democrat
2376,Dobbin,James,1814-01-17,M,rep,NC,Democrat
2377,Dunlap,Robert,1794-08-17,M,rep,ME,Democrat
2378,Ellett,Henry,1812-03-08,M,rep,MS,Democrat
2379,Ellsworth,Samuel,1790-10-13,M,rep,NY,Democrat
2380,Erdman,Jacob,1801-02-22,M,rep,PA,Democrat
2383,Fairfield,John,1797-01-30,M,sen,ME,Democrat
2384,Garvin,William,1806-07-25,M,rep,PA,Democrat
2385,Giles,William,1807-04-08,M,rep,MD,Democrat
2386,Gordon,Samuel,1802-04-28,M,rep,NY,Democrat
2389,Grover,Martin,1811-10-20,M,rep,NY,Democrat
2390,Hastings,Serranus,1813-11-22,M,rep,IA,Democrat
2393,Hoge,Joseph,1810-12-15,M,rep,IL,Democrat
2394,Hough,William,1795-03-20,M,rep,NY,Democrat
2395,Hubard,Edmund,1806-02-20,M,rep,VA,Democrat
2396,Hungerford,Orville,1790-10-29,M,rep,NY,Democrat
2397,Hunt,James,1799-08-13,M,rep,MI,Democrat
2399,Jenness,Benning,1806-07-14,M,sen,NH,Democrat
2400,Johnson,Joseph,1785-12-19,M,rep,VA,Democrat
2401,Jones,Seaborn,1788-02-01,M,rep,GA,Democrat
2402,Kennedy,Andrew,1810-07-24,M,rep,IN,Democrat
2403,Lawrence,John,,M,rep,NY,Democrat
2404,Leib,Owen,,M,rep,PA,Democrat
2407,Martin,Barclay,1802-12-17,M,rep,TN,Democrat
2408,Martin,John,1811-10-11,M,rep,KY,Democrat
2409,Martin,Morgan,1805-03-31,M,rep,WI,Democrat
2410,McClean,Moses,1804-06-17,M,rep,PA,Democrat
2411,McConnell,Felix,1809-04-01,M,rep,AL,Democrat
2412,McCrate,John,1802-10-01,M,rep,ME,Democrat
2413,McDaniel,William,,M,rep,MO,Democrat
2414,McDowell,Joseph,1800-11-13,M,rep,OH,Democrat
2417,Morris,Joseph,1795-10-16,M,rep,OH,Democrat
2419,Moulton,Mace,1796-05-02,M,rep,NH,Democrat
2421,Niven,Archibald,1803-12-08,M,rep,NY,Democrat
2422,Owen,Robert,1801-11-07,M,rep,IN,Democrat
2423,Parrish,Isaac,,M,rep,OH,Democrat
2424,Payne,William,1807-01-02,M,rep,AL,Democrat
2425,Pennybacker,Isaac,1805-09-03,M,sen,VA,Democrat
2426,Perrill,Augustus,1807-01-20,M,rep,OH,Democrat
2427,Perry,Thomas,1807-02-17,M,rep,MD,Democrat
2429,Price,Sterling,1809-09-20,M,rep,MO,Democrat
2430,Rathbun,George,,M,rep,NY,Democrat
2431,Relfe,James,1791-10-17,M,rep,MO,Democrat
2433,Ritter,John,1779-02-06,M,rep,PA,Democrat
2434,Roberts,Robert,1784-11-28,M,rep,MS,Democrat
2436,Scamman,John,1786-10-24,M,rep,ME,Democrat
2439,Sims,Leonard,1807-02-06,M,rep,MO,Democrat
2441,Smith,Thomas,1799-05-01,M,rep,IN,Democrat
2442,Speight,Jesse,1795-09-22,M,sen,MS,Democrat
2443,St. John,Henry,1783-07-16,M,rep,OH,Democrat
2444,Starkweather,David,1802-01-21,M,rep,OH,Democrat
2445,Strong,Stephen,1791-10-11,M,rep,NY,Democrat
2446,Sturgeon,Daniel,1789-10-27,M,sen,PA,Democrat
2447,Sykes,George,1802-09-20,M,rep,NJ,Democrat
2448,Taylor,William,1788-04-05,M,rep,VA,Democrat
2450,Tibbatts,John,1802-06-12,M,rep,KY,Democrat
2452,Towns,George,1801-05-04,M,rep,GA,Democrat
2453,Tredway,William,1807-08-24,M,rep,VA,Democrat
2455,Turney,Hopkins,1797-10-03,M,sen,TN,Democrat
2458,Westcott,James,1802-05-10,M,sen,FL,Democrat
2459,Wheaton,Horace,1803-02-24,M,rep,NY,Democrat
2460,Wood,Bradford,1800-09-03,M,rep,NY,Democrat
2462,Woodworth,William,1807-03-16,M,rep,NY,Democrat
2464,Yancey,William,1814-08-10,M,rep,AL,Democrat
2465,Yell,Archibald,,M,rep,AR,Democrat
2466,Yost,Jacob,1801-07-29,M,rep,PA,Democrat
2471,Ashley,Chester,1790-06-01,M,sen,AR,Democrat
2472,Atkinson,Archibald,1792-09-15,M,rep,VA,Democrat
2476,Bedinger,Henry,1812-02-03,M,rep,VA,Democrat
2479,Birdsall,Ausburn,1814-11-13,M,rep,NY,Democrat
2480,Black,James,,M,rep,SC,Democrat
2484,Bradbury,James,1802-06-10,M,sen,ME,Democrat
2485,Bradley,Edward,,M,rep,MI,Democrat
2487,Brown,Charles,1797-09-23,M,rep,PA,Democrat
2489,Calhoun,John,1782-03-18,M,sen,SC,Democrat
2492,Chase,Lucien,1817-12-05,M,rep,TN,Democrat
2493,Clapp,Asa,1805-03-06,M,rep,ME,Democrat
2494,Clark,Franklin,1801-08-02,M,rep,ME,Democrat
2495,Clarke,Beverly,1809-02-11,M,rep,KY,Democrat
2498,Collins,William,1818-02-22,M,rep,NY,Democrat
2501,Cummins,John,,M,rep,OH,Democrat
2502,Darling,Mason,1801-05-18,M,rep,WI,Democrat
2506,Downs,Solomon,,M,sen,LA,Democrat
2507,Dromgoole,George,1797-05-15,M,rep,VA,Democrat
2511,Edsall,Joseph,,M,rep,NJ,Democrat
2514,Faran,James,1808-12-29,M,rep,OH,Democrat
2516,Felch,Alpheus,1804-09-28,M,sen,MI,Democrat
2519,Foote,Henry,1804-02-28,M,sen,MS,Democrat
2520,French,Richard,1792-06-20,M,rep,KY,Democrat
2521,Fries,George,,M,rep,OH,Democrat
2530,Hammons,David,1808-05-12,M,rep,ME,Democrat
2533,Henley,Thomas,1808-06-18,M,rep,IN,Democrat
2534,Hill,Hugh,1810-03-01,M,rep,TN,Democrat
2541,Ingersoll,Charles,1782-10-03,M,rep,PA,Democrat
2544,Jackson,David,,M,rep,NY,Democrat
2545,Jameson,John,1802-03-06,M,rep,MO,Democrat
2546,Johnson,James,1802-06-03,M,rep,NH,Democrat
2548,Kennon,William,1802-06-12,M,rep,OH,Democrat
2549,Lahm,Samuel,1812-04-22,M,rep,OH,Democrat
2550,Lawrence,Sidney,1801-12-31,M,rep,NY,Democrat
2552,Lewis,Dixon,1802-08-10,M,sen,AL,Democrat
2553,Ligon,Thomas,1810-05-10,M,rep,MD,Democrat
2554,Lord,Frederick,1800-12-11,M,rep,NY,Democrat
2557,McClelland,Robert,1807-08-01,M,rep,MI,Democrat
2559,McKay,James,,M,rep,NC,Democrat
2562,Murphy,Henry,1810-07-05,M,rep,NY,Democrat
2563,Nicoll,Henry,1812-10-23,M,rep,NY,Democrat
2567,Pilsbury,Timothy,1789-04-12,M,rep,TX,Democrat
2570,Rockhill,William,1793-02-10,M,rep,IN,Democrat
2573,Sawyer,William,1803-08-05,M,rep,OH,Democrat
2575,Simpson,Richard,1798-03-24,M,rep,SC,Democrat
2576,Sims,Alexander,1803-06-12,M,rep,SC,Democrat
2581,Starkweather,George,1794-05-19,M,rep,NY,Democrat
2587,Thompson,Robert,1805-02-14,M,rep,VA,Democrat
2589,Turner,Thomas,1815-04-05,M,rep,IL,Democrat
2593,Wick,William,1796-02-23,M,rep,IN,Democrat
2594,Wiley,James,1808-01-22,M,rep,ME,Democrat
